AuthorID	Name	Gender	DoB	DoD	OccupID	ReligionID	PoliticsID	NationID	Notes
847	"Amherst [later Thomas], Elizabeth Frances (c.1716-1779)"	Female			2	0	0	2	Not in ODNB. WIKI: poet and amateur naturalist.
848	Diogenes of Oenoanda (2nd Century CE)	Male			0	0	0	0	
849	St. Augustine (354-430)	Male			0	24	0	0	
850	Epicurus (341-270 B.C.)	Male			0	0	0	0	
851	Boethius (480-524&#47;5)	Male			0	0	0	0	
852	"Luc de Clapiers, Marquis de Vauvenargues (1715-1747)"	Male	1715	1747	0	0	0	3	
853	"Taylor, Edward (1642-1729)"	Male			1	3	0	1	"ODNB, ANB, Wiki. American, Nonconformist, Puritan."
854	"Bradstreet, Anne (1612-1672)"	Female	1612	1613	2	3	0	1	"ODNB, ANB. American, Puritan, Nonconformist."
855	"Thomson, James (1700-1748)"	Male			2	25	2	5	"ODNB: Son of Presbyterian minister. Studied at Edinburgh. ""He entered Divinity Hall, Edinburgh, as a candidate for the Presbyterian ministry, supported by bursaries from the Jedburgh presbytery from 1720 to 1724. He studied divinity for over five years and performed the homilies, lectures, and other public exercises needed to qualify him for the pulpit."" Whiggish. Opposition. Archive DNB: 'Had the poet lived longer,' wrote Lyttelton, â€˜I don't doubt he would have openly profest his faith' (cf. PHILLIMORE, Memoirs, i. 409)."
856	"Pope, Alexander (1688-1744)"	Male			2	1	4	2	"ODNB: English, Catholic, Jacobite Sympathizer, ""For a while he ran with the Whigs ... In the end he was an unpredictable Tory."" "
857	"Cowper, William (1731-1800)"	Male			2	5	1	2	"ODNB. Evangelical circles. ""lifelong whiggism."" Controversies in WC's biography: Methodist and Anglican biographies do not square with Evangelical treatments of his life."
858	"Pierpont, John (1785-1866)"	Male			1	6	5	1	"No entry in ODNB, ANB. Wiki: American, teacher, lawyer, merchant, minister. Unitarian and Congregationalist appointments. Politics: Liberty Party in 1840s, Free Soil Party in 1850."
859	"Prior, Matthew (1664-1721)"	Male			4	0	4	2	"ODNB: Lists him as poet and diplomat. ""Like his friend Jonathan Swift a few years later, found himself moving away from the whig political positions to the tory ones,"" ran for seat in Parliament as independent. Walpole: ""a favourite with me, though a Tory"
860	"Gassendi, Pierre (1592-1655)"	Male			5	1	0	3	"Wiki: French philosopher, scientist, astronomer, mathematician."
861	"Byrom, John (1692-1763)"	Male			2	7	6	2	"ODNB: Poet and creator of a system of shorthand. ""Byrom's politics, which were high church and mildly Jacobite, led him into controversy in 1727."" Disciple of William Law. Sided with Law against Warburton."
862	"Johnson, Samuel (1709-1784)"	Male			6	2	3	2	"ODNB: high-churchman, possibly Jacobite father. Donald Greene puts it with qualification in ""The Politics of Samuel Johnson"": ""it would not have displeased Johnson to be called a Tory"" (236)."
863	Nemesius of Emesa (fl. c. 390)	Male			0	0	0	0	
864	St. Anselm of Canterbury (1033-1109)	Male			0	0	0	0	
865	"Donne, John (1572-1631)"	Male			1	2	0	2	"ODNB: note classes him as ""poet and Church of England clergyman."" This does not match my ""minister and poet."""
866	"Chatterton, Thomas (1752-1770)"	Male			2	8	7	2	"ODNB: apostasy (TC a deist-), Chatterton joked if failed as writer, would turn Methodist preacher. Associates with opposition (Wilkes, Beckford); yet, writes, ""he is a poor author, who cannot write on both sides."" Wiki: writes in vein of Junius. Opposition Whig patriotism: see Robert W. Jones, ""'We Proclaim Our Darling Son..."" The Review of English Studies. 53:211 (2002). p. 377. RWJ cautions, TC remains a ""chameleon."" "
867	"Butler, Samuel (1613-1680)"	Male			2	0	0	2	ODNB
868	"Dryden, John (1631-1700)"	Male			7	9	8	2	"ODNB: shifting allegiances. Poems celebratory of Cromwell and Charles II. Royalist and Jacobite, survives Glorious Revolution. Conversion to Catholicism in 1685. ""Religio Laici"" contradicted by ""The Hind and the Panther."" "
869	"Frere, John Hookham (1769-1846)"	Male			8	2	3	2	"ODNB: ""diplomatist and author."" Associated with Canning and William Pitt, the Younger. Published ""Anti-Jacobin"" with Canning. Sir Walter Scott visited him in 1831 and found him ""a good Tory as ever."" In ODNB themes JHF is placed among the Holland House Set of Henry Richard Fox, third Baron Holland, and his remarkable wife, Elizabeth Vassall Fox, Lady Holland. Frere is listed ""(despite his toryism)"" as belonging to the circle."
870	"Woodhouse, James (bap. 1735, d. 1820)"	Male			2	10	0	2	"ODNB: Labouring class poet, shoemaker poet. Associated with William Shenstone, later Elizabeth Montagu. Expelled from Montagu's service when ""increasing evangelical Methodism caused rifts in the relationship."" Older DNB claims EM found JW's religion and politics ""repugnant."""
871	"Crabbe, George (1754-1832)"	Male			1	2	0	2	"ODNB: ""poet and Church of England clergyman."" N.B., I mark these as OccupID=1. Whig or Tory- Associated with Edmund Burke. Ren&eacute; Huchon treats GC as a ""liberal"" chaplain in the ""tory"" household of the Duke of Rutland, surmising GC would have to defend Burke, Fox, and the Whigs against the Duke's and Duchess's preference for Pitt. Bareham biography treats GC as ""conservative."" R.B. Hatch complains that Rockingham Whigs (including Burke) share a politics with Rutland; see ""The Duke of Rutland and the Tories."" Review of English Studies (1973). p. 28. Differences in personality, not policy."
872	"Parnell, Thomas (1679-1718)"	Male			2	2	4	4	"ODNB: ""poet and essayist."" Born in Dublin. Visitor to London and included in Addison's Whig circle. Moves away from low Anglican background to support tories. Associated with Scriblerians in the end."
873	"Wesley, John and Charles"	Male			9	10	3	2	"ODNB: Church of England clergymen. John is credited as founder of Methodism. Parents were high-church Anglicans. Note JW continues to claim he has not separated from the Church of England. JW espoused high-church, even Jacobite opinions early in his career. Was a critic of Walpole. Later takes sides against Wilkite calls for ""liberty."" Condemned American revolutionaries as radicals. JW claims in 1775 that he is a ""high-churchman"" and in 1785 that he and his brother are Tories but not Jacobites. Opposed 1778 Catholic Relief Act. "
874	"Yearsley, Ann (bap. 1753, d. 1806)"	Female			2	0	0	2	ODNB: Labouring class poet. Bristol. Associated with Hannah More. Writes abolitionist poetry.
875	"Warburton, William (1698-1779)"	Male			9	2	1	2	"ODNB: ""bishop of Gloucester and religious controversialist."" Paradoxes, Erastian, appeals to Locke. Associated with Pope, Richardson, and Fielding. Deep dislike of Methodism. Benefits from ""strict adherence to the interests of the whig party;"" he is a ""consistent whig in his politics."" Published anti-Jacobite sermons. Sermon condemning slavery (an Abolitionist-) in 1766. Tangles with Wilkes and Churchill."
