"WorkID","Title","Year","YearInt","Printer","PlacePub","Genre","SubGenre","Citation","Composed","Notes"
3184,"Verse designed to be Sent to Mr. Adams","1740
",1740,"","","Poetry","","Lonsdale, R. Ed. <u>Eighteenth Century Women Poets</u>. Oxford: Oxford University Press, 1989.","MS <i>c.</i> 1740-50",""
3185,"The Fragments","2nd Century CE",150,"","","Prose","Philosophy","Annas, J. <u>Hellenistic Philosophy of Mind</u>. Berkeley: University of California Press, 1992. ","",""
3186,"Soliloquies","386",386,"","","Prose","Philosophy; Theology; Dialogue","Augustine, <U>The Soliloquies of Augustine</U>. Trans. Rose Elizabeth Cleveland. Boston: Little, Brown, and Co., 1910. Text available at the Online Library of Liberty &lt;<a href=""http://oll.libertyfund.org/ToC/0579.php"">http://oll.libertyfund.org/ToC/0579.php</a>&gt;","w. 386",""
3187,"&#91;Title Not Known&#93;","",0,"","","Prose","Philosophy","MacDonald, Paul S. <u>History of the Concept of Mind: Speculations About Soul, Mind and Spirit from Homer to Hume</u>. Aldershot, Hants: Ashgate Publishing Company, 2003.","",""
3188,"Contra Eutychen","Written not before 512",512,"","","Prose","Philosophy","","",""
3189,"Introduction &agrave; la connaissance de l'esprit humain","1746",1746,"Briasson","Paris","Prose","Philosophy","Marquis de Vauvenargues. <u>Oeuvres compl&egrave;tes</u>. Vol. I. Paris: Hachette, 1968. p. 239.","","Ed. SDM"
3190,"""Prologue"" from Preparatory Meditations","1682-1735",1735,"","","Poetry","Devotional","Axelrod, Steven Gould, Camille Roman, and Thomas J. Travisano. <u>The New Anthology of American Poetry</u>. New Brunswick, N.J.: Rutgers University Press, 2003","1682-1735, first published 1939.","Ed. SDM"
3191,"The Effect of Mans Apostacy","c. 1680",1680,"","","Poetry","Devotional","","Part of ""God's Determinations Touching His Elect..."".  Not published until 1939.","Ed. SDM"
3192,"The Ebb and Flow","1960",1960,"","","Poetry","Devotional","","Not published until 1960.  Part of his ""miscellaneous poems"". ","Ed. SDM"
3193,"Before the Birth of One of Her Children","",0,"","","Poetry","","","",""
3194,"To My Dear Children","1867",1867,"A.E. Cutter","Charleston","Poetry","","Bradstreet, Anne, and John Harvard Ellis. <u> The Works of Anne Bradstreet in Prose and Verse</u>. Charleston: A.E. Cutter, 1867. ","Published posthumously, found among her papers and first published in 1867.","Ed. SDM"
3195,"A Poem Sacred to the Memory of Sir Isaac Newton","1727",1727,"John Millan (Archibald Campbell printer)","London","Poetry","Eulogy","Thomson, James (1700-1748). <u>Liberty, The Castle of Indolence, and other Poems</u>. Ed. James Sambrook. Oxford: Clarendon Press, 1986.

<p>RPO takes its text of the poem from a 3rd edition dated 1727. See Thomson, James. <u>A Poem Sacred to the Memory of Sir Isaac Newton</u>. London: J. Millan, 1727. 3rd edn. &lt;<a href=""http://rpo.library.utoronto.ca/poem/2208.html"">http://rpo.library.utoronto.ca/poem/2208.html</a>&gt;.</p>","",""
3196,"Letter (July 1713)","1713",1713,"","","Letter","","Mack, Maynard. <u>Pope, A Life</u>. New York: Norton, 1988.","w. 1713 in July",""
3197,"Adam: A Sacred Drama. Translated from the Italian of Gio. Battista Andreini. ","1810",1810,"","","Drama","","Cowper, William. <u>The Poems of William Cowper</u>. 3 vols. Ed. John D. Baird and Charles Ryskamp. Oxford: Oxford UP: 1980. Vol II.","",""
3198,"De Vera Religione","388-391",388,"","","Prose","Philosophy; Theology","","","Ed. SDM"
3199,"De trinitate [On the Trinity]","399-426",399,"","","Prose","Philosophy; Theology","<u>The Works of Saint Augustine: A Translation for the 21st Century</u>. Series edited by John E. Rotelle, O.S.A. Augustinian Heritage Published in print by New City Press 1999, InteLex Corporation, 2001. Vol 5.","","Ed. SDM"
3200,"On Free Choice of the Will","387-8 or 391-5",387,"","","Prose","Theology; Philosophy; Dialogue","Augustine. <U>On Free Choice of the Will</U>. Trans. Thomas Williams. Indianapolis: Hackett Publishing, 1993.","","Ed. SDM referenced <u>The Works of Saint Augustine: A Translation for the 21st Century</u>. Series edited by John E. Rotelle, O.S.A. Augustinian Heritage Published in print by New City Press 1999, InteLex Corporation, 2001. Vol 5."
3201,"De civitate Dei [The City of God]","413-427",413,"","","Prose","Theology; Philosophy of History","<u>Nicene and Post-Nicene Fathers</u>, Series I. Vol II. Trans. Rev. Professor J. F.Shaw. 1886? <a href=http://www.ccel.org/>&lt;www.ccel.org&gt;</a>.","","Ed. SDM"
3202,"Dedication Hymn","1831",1831,"","","","","<u>American Common-place Book of Poetry</u>, Ed. George Cheever, 1831.","","Ed. SDM.  Changed title from ""Every Place a Temple""...b/c that's not the title."
3203,"Fragments for Alma [from the Longleat MSS: published as Dialogues of the Dead and Other Works in Prose and Verse. Ed. A. R. Waller]","1907
",1907,"Cambridge University Press","Cambridge","Poetry","","Prior, Matthew, <u>The Literary Works of Matthew Prior</u>. Ed. H. Bunker Wright and Monroe K. Spears. 2 vols. Second Edition. Oxford: Oxford University Press, 1971. Vol ii, p. 969-70.","","Text is bundled into C-H. I find the lines printed in the commentary to ""Alma"" in Wright's and Spear's edition."
3204,"Syntagma Philosophicum","1658",1658,"","","Prose","Philosophy","Quotation from Paul S. MacDonald <u>History of the Concept of Mind</u>. Aldershot: Ashgate, 2003. p. 327.","",""
3205,"Soliloquies","386",386,"","","Prose","Philosophy; Theology; Dialogue","Augustine, and John H. S. Burliegh. <u>Augustine: Earlier Writings</u>. Library of Christian Classics. Vol. vi. Philadelphia: Westminster Press, 1953. Text available at the Online Library of Liberty &lt;<a href=""http://oll.libertyfund.org/ToC/0579.php"">http://oll.libertyfund.org/ToC/0579.php</a>&gt;","w. 386",""
3206,"A Penitential Soliloquy","1773",1773,"J. Harrop","Manchester","Poetry","","Byrom, John.  <u>Miscellaneous Poems</u>. Vol. II. Manchester: J. Harrop, 1773, 90-91.  Available on GoogleBooks.","unknown.  Byrom's poems were published posthumously.","Ed. SDM
"
3207,"Anecdotes of the Late Samuel Johnson, L.L.D. During the Last Twenty Years of his Life","1786",1786,"Printed for T. Cadell in the Strand","London","Prose","Memoirs","Piozzi, Hester Lynch. <U>Anecdotes of the Late Samuel Johnson, L.L.D. During the Last Twenty Years of his Life</U>. 4th edition. London: Cadell, 1784. &lt;<a href=""http://books.google.com/books?id=F8IIAAAAQAAJ"">Link&gt;","","Watt cites <u>Thraliana</u>, ed. Balderston. Vol. I. Oxford, 1951. p. 180."
3208,"De Natura Hominis","c. 400 AD",400,"","","","","","Fourth Century","ED. SDM"
3209,"Confessions","397-401",397,"","","","","","","Ed. SDM"
3210,"Monologion","1077",1077,"","","Prose","","St. Anselm: <u>Proslogium; Monologium: An Appendix In Behalf Of The Fool By Gaunilo; And Cur Deus Homo, Translated From The Latin By Sidney Norton Deane, B. A. With An Introduction, Bibliography, And Reprints Of The Opinions Of Leading Philosophers And Writers On The Ontological Argument</u>, (Chicago, The Open Court Publishing Company, 1903, reprinted 1926)","","Ed. SDM"
3211,"The Progress of the Soul","1612",1612,"","","Poetry","","Donne, John, and E. K. Chambers. <u>Poems of John Donne</u>. London: Lawrence & Bullen, 1896.","","Ed. SDM"
3212,"Elegy, Written at Stanton-Drew.","1803",1803,"","London","Poetry","Elegy","Chatterton, Thomas, Joseph Cottle, Robert Southey, and G. Gregory. <u>The Works of Thomas Chatterton</u>. London: T.N. Longman and O. Rees, 1803. 
","w. 1769.  from a manuscript unpublished until 1803.","Ed. SDM"
3213,"Virtuoso [from Poetical Thesaurus]","1759",1759,"","","Poetry","","Butler, Samuel, and Robert Thyer. <u>The Genuine Remains of Samuel Butler</u>. London: C. Baldwyn, 1822. 
","","Ed. SDM"
3214,"The Wife of Bath her Tale [first published in Fables Ancient and Modern]","1700",1700,"","","Poetry","Tale; Translation","Dryden, John. <U>John Dryden</U>. Ed. Keith Walker. Oxford: Oxford UP, 1987.","",""
3215,"A Fragment","November 1824",1824,"","London","Poetry","","Frere, John Hookham, Aristophanes, Theognis, Bartle Frere, and William Edward Frere. <u>The Works: In Verse and Prose</u>. Vol. I. London: Pickering, 1872.
","","Ed. SDM"
3216,"Ridicule","1788",1788,"","","Poetry","","""Woodhouse, James. <u>The Poetical Works</u>. Cambridge [England]: Chadwyck-Healey, 1992. <http://uclibs.org/PID/78065>. 

","","Ed. SDM.  From ""Poems on Several Occasions"" (1788)."
3217,"Tale XI. Edward Shore [from Tales in Verse]","1812",1812,"","","Poetry","","Crabbe, George, and George Crabbe. <u>The Poetical Works of the Rev. George Crabbe: With His Letters and Journals, and His Life</u>. Vol. V. London: J. Murray, 1834. 
","","Ed. SDM.  You have some other entries from Tale XI, Edward Shore, with a later date from his collected works.  The first publication date of Tales in Verse was 1812, so I don't know if you want to change the other ones to the earlier date."
3218,"The Ecstasy","1755",1755,"Foulis","Glasgow","Poetry","","Parnell, Thomas. <u> Works in Prose and Verse <u>. Glasgow: Foulis, 1755.
","","Ed. SDM"
3219,"#832. When Satan Rules the Simple Heart [from Hymns on the Four Gospels]","1868",1868,"","","Poetry","Hymn; Devotional","Wesley, John and Charles. <U>The poetical works of John and Charles Wesley: reprinted from the originals, with the last corrections of the authors; together with the poems of Charles Wesley not before published</U>. Collected and arranged by G. Osborn: London: The Wesleyan-Methodist Conference Office, 1868. Text from Chadwyck-Healey.","",""
3221," <i>REMONSTRANCE</i> IN THE PLATONIC SHADE, FLOURISHING ON AN HEIGHT [from The Rural Lyre]","1796",1796,"","","","","","",""
3222,"The New Dunciad. Book I. Note to Line 16","1743",1743,"","","","","See Rebecca Ferguson <i>The Unbalanced Mind</i> (163)","","Ed. SDM.  This is one of the ones I emailed you about.  Here's a link to a printed version: http://books.google.com/books?id=30n3O8NgDBIC&printsec=frontcover#PPA435,M1.  Not sure about author/title, etc.
"
3223,"Lines on Dullness [published in Wycherley's <i>Works</i>]","1728-9",1728,"","","Poetry","","Pope, Alexander. <u>The Poems of Alexander Pope</u>. A One-Volume Edition of the Twickenham Text with Selected Annotations. Ed. John Butt. New Haven: Yale UP, 1963. p. 272-3.","w. 1707? (Butt has w. 1706-10.)","Inserted in ""A Panegyrick on Dulness"""
3224,"Sappho Redivivus","January 24, 1789",1789,"","","Poetry","","Burns, Robert. <u>The Works of Robert Burns</u>. Vol. II. Ed. William Scott Douglas. Edinburgh: Paterson, 1877.


http://www.robertburns.org/works/247.shtml","January 24, 1879.  Fragment sent in a letter.","Ed. SDM.  Changed title from ""Passion's Cry"" to ""Sappho Redivivus""...Is there a duplicate listing here?"
3225,"Sir Eustace Grey","October 1807",1807,"","","Poetry","","George Crabbe. <u>The Poetical Works of the Rev. George Crabbe: With His Letters and Journals, and His Life</u>. Vol. II. London: J. Murray, 1834. 
","","Ed. SDM"
3226,"XXXIX [from Fragments from Theognis]","1842",1842,"","Malta","Poetry","Translation","Theognis, and John Hookham Frere. Theognis Restitutus. <u>The Personal History of the Poet Theognis</u>. Malta: 1842;  Frere, John Hookham, Aristophanes, Theognis, Bartle Frere, and William Edward Frere. <u>The Works: In Verse and Prose</u>. Vol. II. London: Pickering, 1872. 
","","Ed. SDM"
3227,"Concerning Resolution [from Satires Notebook]","1702-1713",1713,"","","Poetry","","Parnell, Thomas. <u> Collected Poems of Thomas Parnell</u>.  Eds. Claude Julien Rawson and F. P. Lock. Newark: University of Delaware Press, 1989.
","w. 1702-1713.  First published 1989.","Ed. SDM"
3228,"Charity; A Poetical Paraphrase of the Thirteenth Chapter of St. Paul's First Epistle to the Corinthians","January 1, 1779",1779,"","","Poetry","","Anstey, Christopher.  <The Poetical Works of the Late Christopher Anstey, Esq. with Some Account of the Life and Writings of the Author by his Son, John Anstey, Esq.</u> London: W. Bulmer & Co., 1808.
","","Ed. SDM"
3229,"On Patience. Written at the Request of a Friend.","1773",1773,"","","Poetry","","Byrom, John. <u>Miscellaneous Poems</u>. Leeds: James Nichols, 1814. 
","","Ed. SDM"
3230,"Psalm XLV. My heart is full of Christ, and Longs [From Versions and Paraphrases of Select Psalms]","1743",1743,"","","Poetry","Devotional","Wesley, John and Wesley, Charles.  <u>The Poetical Works of John and Charles Wesley</u>. Ed. G. Osborn. Vol. VII. London: R. Needham, 1869.
Wesley, John and Wesley, Charles.  <u>The Poetical Works of John and Charles Wesley</u>. Ed. G. Osborn. Vol. VII. London: R. Needham, 1869.
","","Ed. SDM"
3231,"Lines","August 15, 1822",1822,"John Nichols & Son","London","Poetry","","Crabbe, George, ""Lines"" in <u>The Gentleman's Magazine and Historical Chronicle</u>. Vol. XCII. Part 2. London: John Nichols & Son, 1822.
","","Ed. SDM.  The title could also be ""Lines on His Majesty's Visit to Scotland"" if you feel like changing it."
3232,"On the Death of Mr Basil Hamilton","December 1742",1742,"","","Poetry","","Hamilton, William. <u>The Poems and Songs of William Hamilton of Bangour</u>.  Ed. James Paterson.   Edinburgh, 1850.
","","Ed. SDM. Basil Hamilton died in November of 1742 and the epitaph was written in December 1742.  The first six lines were printed in an edition of Hamilton's poems in 1760 ."
3233,"Irregular Verses to Truth. Written at Fourteen Years of Age","1703?",1703,"","","Poetry","","""Montagu, Lady Mary Wortley.  <u>Prose and Poetry of Lady Mary Wortley Montagu</u>. Electronic Text Center, University of Virginia.  (This etext edition of works of Lady Mary Wortley Montagu derives from the 1861 Moy Thomas revision of Lord Wharncliffe's edition of 1837) 
""
","w. 1703?","Ed. SDM.  If she was fourteen when she wrote it...?"
3234,"Part of the Ninth Chapter of Isaiah. Verse 2, &c. [from Original Poems...]","1744",1744,"","","Poetry","","Wesley, John and Wesley, Charles.  <u>The Poetical Works of John and Charles Wesley</u>. Ed. G. Osborn. Vol. III. London: R. Needham, 1869.
","","Ed. SDM"
3235,"11. Thou Dost in All Thy People Dwell [from Hymns on the Four Gospels, and Acts of the Apostles. Including Such ""Short Hymns"" as Were Published in 1762.]","1868",1868,"","","Poetry","Hymn; Devotional","Wesley, John and Charles. <U>The poetical works of John and Charles Wesley: reprinted from the originals, with the last corrections of the authors; together with the poems of Charles Wesley not before published</U>. Collected and arranged by G. Osborn: London: The Wesleyan-Methodist Conference Office, 1868. Text from Chadwyck-Healey.","",""
3236,"2231. Not by Force of Arms Upheld [from Hymns on the Four Gospels, and Acts of the Apostles. Including Such ""Short Hymns"" as Were Published in 1762.]","1868",1868,"","","Poetry","","Wesley, John and Charles. <U>The poetical works of John and Charles Wesley: reprinted from the originals, with the last corrections of the authors; together with the poems of Charles Wesley not before published</U>. Collected and arranged by G. Osborn: London: The Wesleyan-Methodist Conference Office, 1868. Text from Chadwyck-Healey.","",""
3237,"2250. Who Yield their Hearts the Sordid Throne [from Hymns on the Four Gospels, and Acts of the Apostles. Including Such ""Short Hymns"" as Were Published in 1762.]","1868",1868,"","","Poetry","","Wesley, John and Charles. <U>The poetical works of John and Charles Wesley: reprinted from the originals, with the last corrections of the authors; together with the poems of Charles Wesley not before published</U>. Collected and arranged by G. Osborn: London: The Wesleyan-Methodist Conference Office, 1868. Text from Chadwyck-Healey.","",""
3238,"2303. The Sight Without the Touch Compell'd [from Hymns on the Four Gospels, and Acts of the Apostles. Including Such ""Short Hymns"" as Were Published in 1762.]","",1868,"1868","","Poetry","","Wesley, John and Charles. <U>The poetical works of John and Charles Wesley: reprinted from the originals, with the last corrections of the authors; together with the poems of Charles Wesley not before published</U>. Collected and arranged by G. Osborn: London: The Wesleyan-Methodist Conference Office, 1868. Text from Chadwyck-Healey.","",""
3239,"2650. Ah, Never Lord in Anger Grant [from The Acts of the Apostles]","1762",1762,"","","Poetry","","Wesley, John and Wesley, Charles.  <u>The Poetical Works of John and Charles Wesley</u>. Ed. G. Osborn. Vol. XI. London: R. Needham, 1871.
","","Ed. SDM"
3240,"Tale X. The Lover's Journey [from Tales in Verse]","1812",1812,"","","Poetry","","George Crabbe. <u>The Poetical Works of the Rev. George Crabbe: With His Letters and Journals, and His Life</u>. Vol. III. London: J. Murray, 1834. 
","","Ed. SDM."
